8005,"Palanquin Ship","The Palanquin Ship (聖輦船, Seirensen lit. Star-Lotus Ship) was created by Byakuren Hijiri and is captained by Minamitsu Murasa. The ship is able to sail through the sky and even reach Makai. Her crew consists of youkai, notable members being Shou Toramaru, Ichirin Kumoi and Nazrin. Although both Reimu Hakurei and Marisa Kirisame call it a &quot;Flying Treasure Ship\", once on board, they find the ship is empty.\r\n\r\nByakuren made it as a recreation of the ship from which Murasa had fallen overboard, allowing her to no longer be bound to the ocean in which she had drowned.\r\n\r\nThe ship had been buried underground when Byakuren was sealed away by humans, but was brought back up to the surface by a geyser caused by Utsuho during the events of Subterranean Animism.\r\n\r\nAfter the events of Undefined Fantastic Object, the ship landed near the Human Village, and was turned temporarily into a granary, before being later on renovated into a temple named Myouren Temple (Myōrenji, 命蓮寺). It is named after Byakuren's brother, Myouren Hijiri. The temple is quite popular to humans and youkai alike as of now.\r\n\r\nThe inspiration for the Palanquin Ship is the Flying Storage (Tobi Kura, 飛倉) which appears in the first volume of Shigi san Engi Emaki: Myouren made a bowl fly, so it was called the Flying Bowl (Hihatsu, 飛鉢), for people to place offerings into. When a certain rich man suspected that Myouren might be skimming off the top, he shut the bowl into a closed storage room. In return, Myouren made the whole storage room fly, along with the bowl and the other stored supplies like bales of rice. The rich man asked Myouren to give back the supplies so he did. After a long time, perhaps after long time passed since Myouren died, the Flying Storage fell into ruin, but it gained sacred power from his cloth which his sister gave to him. People wondered about it, so they removed pieces of it from the Storage.\r\n\r\nThe temple was landed directly above the Dream Palace Great Mausoleum, where Miko suspended animation. Byakuren kept a close eye on Miko and other Buddhist monks kept placing seals on her mausoleum. Nue called Mamizou into Gensokyo to fight against Miko. During Ten Desires, Yoshika Miyako was guarding the door leading to the Dream Palace Great Mausoleum under the order of Seiga Kaku.\r\n\r\nNue Houjuu and Mamizou Futatsuiwa currently live in the Myouren Temple."
9005,"Dream Palace Great Mausoleum","The Dream Palace Great Mausoleum (Yumedonodaishibyō, 夢殿大祀廟) is a mausoleum that is straight under the Myouren Temple. The Dream Palace Great Mausoleum has many ghosts and spirits, including Soga no Tojiko. The fourth, fifth and sixth stage of Ten Desires takes place at the Dream Palace Great Mausoleum.\r\n\r\nToyosatomimi no Miko's mausoleum is located in there. Seiga Kaku and Mononobe no Futo were at the Dream Palace Great Mausoleum during Ten Desires.\r\n\r\nMany years ago, Toyosatomimi no Miko attempted to gain an immortal body through going into a sleep that looked like she died, but in reality, her body would not decompose. However, scared to undergo the process, she asked Mononobe no Futo to try the process first. Since it was successful, Toyosatomimi no Miko also went to sleep. Soga no Tojiko also joined, but could only be resurrected as a ghost. After the events of Undefined Fantastic Object and before Ten Desires, the Palanquin Ship landed on top of the mausoleum. This was planned, however, as Byakuren Hijiri and Toyosatomimi no Miko were religious rivals. Later, the ship was rebuilt into a temple. Although Byakuren attempted to stop Miko's resurrection through using Buddhist seals, Ten Desires occurs when Miko finally is able to resurrect in the mausoleum."
12005,"Heaven","In Touhou, Heaven (天界,Tenkai lit. Celestial World) is a collection of separate realms existing above the Earth. One of them, Bhava-Agra, is the setting of most final battles in Scarlet Weather Rhapsody, and can be reached by climbing the Youkai Mountain. Bhava-Agra is also where Tenshi Hinanawi and her family live. Suika Ibuki may occasionally be seen there as well.\r\n\r\nCelestials, Angels, and other heavenly beings reside there. These residents generally live carefree lives filled with fishing, song, dance, sake, and peaches. They may also find enjoyment in viewing events that unfold on the Earth."
12006,"Shining Needle Castle","The Shining Needle Castle (輝針城 Kishinjou) is a castle that's located in the skies above Gensokyo in an &quot;entirely-inverted world\". It takes place in the last 2 stages of Double Dealing Character."
12020,"Mayohiga","The original source of Mayohiga (マヨヒガ or 迷ひ家) appears to be from &quot;Tohno Monogatari\" (The Story of the Tohno region), a collection of folk stories by Kunio Yanagida, the founding father of Japanese folklore. This strange story is mainly told in the northeast of Japan. The name of the story is sometimes written as Mayoiga (マヨイガ or 迷い家), meaning \"stray house.\" The tale is about a strange house that people wandering into another world are supposed to reach.\r\n\r\nMayohiga might be the home of Yukari Yakumo and is actually located on the Gensokyo boundary, similar to the Hakurei Shrine. However, while the Hakurei Shrine is physically there on both sides of the boundary, Mayohiga acts as the rest of the boundary separating Gensokyo from the real world. Travelers who journey near the boundary will start to become disoriented and lost, and if they persist onward will find themselves spirited away to the almost dreamlike village of Mayohiga."
12021,"Netherworld","The Netherworld (Meikai, lit. Gloomy World, 冥界) is the land where ghosts reside after death. Apparently it's a distinct part of Gensokyo, but is separated from the Land of the Living by a strong barrier (one even Marisa couldn't breach with her raw power).\r\n\r\nThe barrier is situated at a great gate high above the clouds. Unfortunately, like most barriers in Gensokyo, this barrier is rather vague, and, while it's powerful enough to keep people from passing directly through, there's nothing preventing people from flying over it. Thus, the Border between Death and Life is quite thin. Depending on the scenario, the barrier was either taken down by Reimu (Reimu's story), flown over (Marisa's story) or simply bypassed (Sakuya's story).\r\n\r\nDuring the events of Perfect Cherry Blossom, the barrier was weakened by Yukari Yakumo and had to be repaired by her afterwards. Apparently, she never got around to repairing it, as the boundary continues to thin in the summer of Imperishable Night."
12022,"Garden of the Sun","The Garden of the Sun (太陽の畑) is a field full of sunflowers that is home to numerous fairies and youkai, including Yuuka Kazami. There are a few battles in Phantasmagoria of Flower View that take place here; most of which involving a battle with Yuuka.\r\n\r\nIt's located behind a mountain not too far from the Human Village."
12023,"Genbu Marsh","Genbu Marsh (玄武の沢) is a marsh named after the legendary tortoise Genbu (玄武). This marsh, consisting of a six-sided rock formation surrounded by mountains, was created while Youkai Mountain was still an active volcano. It's located near the Forest of Magic and Youkai Mountain.\r\n\r\nIn Symposium of Post-mysticism it is said that this is where many kappa live, including Nitori Kawashiro. Furthermore, in chapter 4 of Cage in Lunatic Runagate the Genbu Marsh is mentioned on several occasions as well as a location in Strange and Bright Nature Deity."
12024,"Great Youkai Forest","The Great Youkai Forest (Youkai no Jukai, 妖怪の樹海) was said to be found at the Youkai Mountain. Hina Kagiyama is one of the youkai who live here. The forest is very dark and there's no sunlight seen in the forest. The Great Youkai Forest was the location for the second stage in Mountain of Faith."
12025,"Makai","Makai (魔界) is the world of demons and basically means &quot;demonic realm\", \"world of spirits\", or \"hell\". However it is not to be confused with Jigoku which is also known as Hell, as such Demons' World might be a better English phrase for Makai. The entrance is located in a cave in the mountains near the Hakurei Shrine.\r\n\r\nThis is where the heroines first met Alice Margatroid, apparently before she lived in the Forest of Magic. It is ruled over by Shinki who created Makai.\r\n\r\nThis is where many events of Highly Responsive to Prayers occurred, as well as almost the entirety of Mystic Square and the last two stages of Undefined Fantastic Object.\r\n\r\nMakai is a land with a harsh and unearthly nature that makes it difficult to survive in, but youkai and some humans live and/or train their powers here regardless. It is filled with a toxic miasma which is physically harmful, but strengthens magical spells and seals, and can also make learning magic easier for a human.\r\n\r\nMuch of Makai's terrain is a deep red color, but there are also extensive fields of crystalline forests and frozen fields. This is especially true around Pandæmonium, Shinki's fortress, which seems to be constructed from a similar crystalline material.\r\n\r\nLong before the events of Undefined Fantastic Object, Byakuren Hijiri was sealed in a part of the Makai, the Hokkai. Byakuren believed Youkai and Human should co-exist, but humans disagreed and sealed her away. She was unsealed by Murasa and her team during Undefined Fantastic Object."
12026,"Myouren Temple Cemetery","The Myouren Temple Cemetery (命蓮寺墓地) is a cemetery, as its name suggest, found near the Myouren Temple. The cemetery is incredibly old and may have even been a part of the Dream Palace Great Mausoleum being built before or after it, seeing as its entrance is near the the cemetery. Of course, it seems as though the Myouren Temple has power over the cemetery now.\r\n\r\nThis area is full of gravestones, as one would expect. Yoshika Miyako appears during the heroines' journey, likely with other jiang shi. It's uncertain as to whether or not any of them are guarding the cemetery as Toyosatomimi no Miko is being resurrected. Kogasa Tatara seems to live here, or visit often, simply to scare people."
12027,"Muenzuka","Muenzuka (無縁塚), also known as &quot;Mound of the Nameless\", is a small wooded area located at the end of the Road of Reconsideration. It's a graveyard for humans who don't have any relatives or were from outside of Gensokyo. It is also home to a cherry blossom tree bearing purple cherry blossoms\r\n\r\nThis is where the final battle in Phantasmagoria of Flower View's story mode against Shikieiki Yamaxanadu takes place.\r\n\r\nThis location is named after a Japanese Buddhist term \"muen-botoke\" (無縁仏), meaning \"a dead person or soul lacking his/her relatives by blood and marriage who arrange his/her grave\"."
12028,"Skies of Gensokyo","..."
