2004,4003,3006,"Lunasa Prismriver","Can play a violin without physical contact to put on a melancholy musical performance","Unknown","Violinist of a musical performance ensemble","During the events of Perfect Cherry Blossom, the three Prismriver Sisters are preparing to play a concert for the flower viewing at Yuyuko's mansion. They attempt to stop the player from entering the Netherworld together, and the progression of the battle is affected by which sister the player decides to focus on attacking during their first spell card. The dialog they bounce back and forth between each other and the player is actually quite comical, and shows their very individual personalities. Lunasa Prismriver is mature and mellow, Merlin Prismriver is happy-go-lucky and clueless, and Lyrica Prismriver is a sly smart-aleck.In Phantasmagoria of Flower View, Lyrica, the youngest of the three, goes off on her own to collect material for her songs. She's not really interested in solving the flower incident and would rather focus on her performance, but unknown to her, she's not alone.","240px-TH09_Lunasa.png"
2005,4003,3006,"Merlin Prismriver","Can play a trumpet without physical contact to put on a manic musical performance","Unknown","Trumpeter of a musical performance ensemble","During the events of Perfect Cherry Blossom, the three Prismriver Sisters are preparing to play a concert for the flower viewing at Yuyuko's mansion. They attempt to stop the player from entering the Netherworld together, and the progression of the battle is affected by which sister the player decides to focus on attacking during their first spell card. The dialog they bounce back and forth between each other and the player is actually quite comical, and shows their very individual personalities. Lunasa Prismriver is mature and mellow, Merlin Prismriver is happy-go-lucky and clueless, and Lyrica Prismriver is a sly smart-aleck.In Phantasmagoria of Flower View, Lyrica, the youngest of the three, goes off on her own to collect material for her songs. She's not really interested in solving the flower incident and would rather focus on her performance, but unknown to her, she's not alone.","240px-TH09_Merlin.png"
2006,4003,3006,"Lyrica Prismriver","Can play a keyboard without physical contact to put on an illusionary musical performance","Unknown","Keyboardist of a musical performance ensemble","During the events of Perfect Cherry Blossom, the three Prismriver Sisters are preparing to play a concert for the flower viewing at Yuyuko's mansion. They attempt to stop the player from entering the Netherworld together, and the progression of the battle is affected by which sister the player decides to focus on attacking during their first spell card. The dialog they bounce back and forth between each other and the player is actually quite comical, and shows their very individual personalities. Lunasa Prismriver is mature and mellow, Merlin Prismriver is happy-go-lucky and clueless, and Lyrica Prismriver is a sly smart-aleck.In Phantasmagoria of Flower View, Lyrica, the youngest of the three, goes off on her own to collect material for her songs. She's not really interested in solving the flower incident and would rather focus on her performance, but unknown to her, she's not alone.","240px-TH09_Lyrica.png"
2007,4004,3005,"Youmu Konpaku","Swordfighting, concentration, superhuman speed(?)","Unknown, but less than 60 years old","Gardener, Sword Instructor","Youmu Konpaku is one of the stranger entities in Gensokyo, part-human and part-phantom at the same time. Her two halves are not intermixed like one would expect from a cross-breed, but actually exist in physically separate bodies. Youmu has a straightforward and focused personality, which complements her swordfighting skills well. However, her personality conflicts with that of her master, Yuyuko Saigyouji, who is very whimsical and playful in nature. Still, she serves Yuyuko as best as she can, tending to the gardens in Hakugyokurou and following her orders.Youmu commonly wields two blades at once, having studied some under her predecessor, Youki. The longer blade, called 楼観剣 (Roukanken) - Lookout-Tower Sword, is said to be able to kill ten ghosts in one swipe. The shorter blade, 白楼剣 (Hakurouken) - White Tower Sword, is able to cleave through a person's own confusion. However, not much is known about her particular style of swordfighting or about her parents. What is known is that Youki, also a servant of Hakugyokurou, had begun training a very young Youmu (possibly as a child?) when he suddenly disappeared one day, leaving her style incomplete (and presumably causing her to teach herself). No one currently knows his whereabouts.During the events of Perfect Cherry Blossom, Youmu was ordered by Yuyuko to gather as much spring essence from Gensokyo as she could in order to get the entire cherry blossom garden, including the legendary Saigyou Ayakashi, to bloom perfectly. Youmu's efforts indirectly caused winter to continue unchecked in Gensokyo, prompting the player to find the source of the problem. Youmu tried to prevent the player from reaching Hakugyokurou but was defeated. She also tried to stop the player's confrontation against Yuyuko but was defeated again. In Imperishable Night, she traveled to the world of the living with the intent to fix the moon--although Yuyuko was more interested in having a feasting tour with a \"dragon dish\" as the crowning attraction. In Phantasmagoria of Flower View, she was minding her own business but kept encountering various people barging into Hakugyokurou suspecting her of being behind the flower incident. When she traveled to Gensokyo herself to behold the spectacle, she immediately noticed what was going on but thought nothing of it. During the events of Scarlet Weather Rhapsody, she set off to investigate, concerned as to how and why someone was slaying ghosts. After a hint from Yukari, she found and defeated the culprit.","270px-YoumuTD3.png"
2008,4004,3003,"Yuyuko Saigyouji ","Manipulation of Death, Ability to control departed souls","Dead/Immortal (Existed for at least 1000 years)","Ghost princess","Yuyuko Saigyouji is the ghost princess of Hakugyokurou, the netherworld of the \"formerly-living\", but was once a living human. Long ago, after her death from suicide, her body was used to place a seal on the Saigyou Ayakashi, a dangerous youkai cherry tree, to stop it from killing innocent humans. She has the power to invite mortal souls to death, and those souls who perish this way wind up in Hakugyokurou rather than Heaven or Hell. Though it might seem dangerous for such a whimsical, seemingly impulsive personality to wield such a terrible power, Yuyuko appears to have a strong sense of responsibility regarding her power, and never uses it recklessly or out of spite, nor does she use it as a weapon. Ironically, it was this power that drove her to kill herself in the first place. Humans fear Yuyuko because of her fearsome power and a general fear of the supernatural, but she is very cheerful and friendly. Unlike many ghosts, she resembles a living human, and her playful, good-humored personality, otherworldly beauty, and courtesan charm can have a disarming effect. She often makes bizarre and apparently nonsensical remarks and sometimes seems to overlook the obvious, leading to her characterization as an airhead or a ditz. However, at other times, she will reveal an extremely cunning and perceptive side and will also sometimes display an extraordinary level of knowledge. She seems to never take anything too seriously, though, and she loves to tease her straight-laced and eager-to-please assistant, Youmu, who is her opposite in many ways. Probably originating from the term \"hungry ghost\", she is also known for her incredible appetite and seems to have a food-related metaphor for any situation. Yuyuko is truly \"dead and loving it.\"","Yuyuko_-_Ten_Desires.png"
2009,12020,3004,"Ran Yakumo","Black Magic, Shikigami Rituals","Unknown (possibly older than 800 years)","Yukari's shikigami","During Perfect Cherry Blossom Ran Yakumo is busy preparing a banquet for her master Yukari, who was still asleep as usual, when Ran was suddenly interrupted by the heroine. Because she is actually a fox that became a youkai (Kitsune) and is a shikigami herself it's highly unusual that Ran has a shikigami of her own. Having nine tails, the highest number of tails a kitsune ever has, is a clear sign of Ran's power and experience. Since kitsunes are said in many stories to grow an extra tail every hundred years to a maximum of nine, it's thought that Ran may be 900 years old. Even though Ran looks similar to a human and has more than enough intelligence to speak she is still essentially an animal and is often regarded as such by other characters.","225px-Ran.png"
2010,12020,3,"Yukari Yakumo","Manipulation of all boundaries (including conceptuals)","At least 1,200 years old, older than the history of Gensokyo itself","Stabilizes and Monitors the Barriers of Gensokyo; she sleeps most of the time","An often seen and referenced character, Yukari Yakumo is the youkai of boundaries. She was first introduced in Perfect Cherry Blossom as the sleepy mistress of Ran Yakumo. During Imperishable Night, Yukari teams up with Reimu to find those responsible for the fake moon. In Immaterial and Missing Power, she actually sings her way from battle to battle, stealing everyone's sake, wine, and brandy. Even right from the shrine's altar... however, this is all part of her strategy to save the day. Somehow.Over a thousand years ago, Yukari organized an army of youkai and led them in an invasion of the Moon. The youkai were subsequently routed by the Lunarians, who possessed superior technology and magic, and forced to retreat to Earth. Since that time, no youkai have attempted to expand their territory beyond Gensokyo. While some speculate that Yukari organized the invasion out of selfish hunger for territory and power, others believe she did it to teach the youkai a lesson about starting wars of conquest; namely, that it was a bad idea.About a thousand years ago, Yukari met and became friends with a human girl named Yuyuko. After Yuyuko died, Yukari continued to be friends with Yuyuko's ghost, although Yuyuko gradually forgot who she had been and why she had died. When Yuyuko requested that Yukari use her power to weaken the border between the Netherworld and Gensokyo, Yukari obliged. She knew Yuyuko's plan to make the Saigyou Ayakashi bloom could never succeed, but was too busy sleeping to say or do anything about it, or to put the border back to normal after everything was finished, which put her on a collision course with the heroines.Yukari is known for being a very youkai-like youkai who sleeps all day and lives for the enjoyment of life. Though she rarely leaves her house, she's well-connected and is acquainted with most of the most powerful youkai (such as Suika and Yuyuko) as well as anyone having anything to do with the Hakurei border or outside world (Reimu and Rinnosuke). She's possibly the most powerful youkai in Gensokyo, and has a tendency to toy with her opponents rather than use her full power from the start. If anyone is suited for the role of \"mastermind\", it's Yukari; she often has a great deal of insight and understanding about whatever happens in Gensokyo, and possesses considerable intellectual prowess as well. Though she seems flaky and unreliable most of the time, when the safety or security of Gensokyo is at stake, she won't hesitate to get involved, even if it means using others to do the work for her. For example, in Scarlet Weather Rhapsody, she treats Tenshi Hinanawi with much hostility after finding out the plot of the Heavens. She could easily be either a villain or a heroine, depending on her whims.","310px-YukariP.png"
3004,null,3,"Wriggle Nightbug","Manipulation of Insects","Unknown, is implied to be young","Unknown","Wriggle Nightbug is a youkai firefly with the ability to control other insects around her. She likes using her ability to direct concerted performances for her own amusement. She also likes using it to attack humans who underestimate her significance or the importance of insects in general; she seems to take it personally when someone offends insects.During the events of Imperishable Night, Wriggle attacked a pair of travelers that looked like they would be easy targets, but the pair fought Wriggle off without breaking a sweat.","195px-Wriggle.png"
3005,null,3007,"Mystia Lorelei","Confusion song, night-blindness","Unknown, but is implied to be young","Grilled lamprey vendor, tricking humans into getting lost","Mystia Lorelei is a little Night Sparrow with an egocentric personality - at least she sounds arrogant - that enjoys infusing confusion and terror into the hearts of humans using her ability: a song that creates confusion in those who hear her. Her song seems to attract nearby monsters as well. She roams a road near the Human Village that Keine tries to protect, in search of humans to frighten. She is indeed feared by the locals as people around her become blinded by darkness.During the events of Phantasmagoria of Flower View, Mystia aimlessly wanders around singing, hoping to catch and eat humans attracted by the flowers. Instead, she attracts (or rather, annoys) the other protagonists and ends up fighting each in turn.","215px-TH09_Mystia.png"
3006,null,3,"Rumia","Manipulation of Darkness","Unknown","\"Attacking humans is a youkai's job.\"","Rumia is a youkai that can manipulate the darkness, but judging from her Embodiment of Scarlet Devil appearance, she is only powerful enough to make it seem like late evening. Apparently she is quite simple-minded, but isn't featured in enough conversations for details about her personality to be revealed.Rumia's hair ribbon is actually an amulet. She can't touch it, so she can't take it off.In the events of Embodiment of Scarlet Devil, she's attacked by the heroines for no reason (probably just as a general warmup), and has nothing to do with the main story.According to comments about her in the Bunbunmaru Newspaper and in Perfect Memento it seems that she's constantly surrounded by a mass/blob of darkness at all times except during the new moon, and so is rarely actually seen in person. Despite her innocent appearance, she eats humans.","RumiaNB.png"
3007,4005,3008,"Keine Kamishirasawa","In human form, can consume (hide) history. In hakutaku form, can create and change history.","Unknown, possibly over 80 years","School history teacher; acts as guardian of the human village","During Imperishable Night, Keine Kamishirasawa, being sensitive to the moon herself, sensed the strange events that were occurring. As a safeguard, she hid the village's history, making it as if there had never been a village there to begin with, so that the inhabitants would be protected from any youkai. After being defeated, Keine pointed the heroines toward the ones responsible for the fake moon in the sky. Later, during the Extra Stage, Keine acted as guardian of Fujiwara no Mokou and attempts to stop the player from reaching and facing Mokou.Keine seems to have a strong desire to protect humans and would probably be the safest person in Gensokyo for any human to be around.","240px-KeineIN.png"
3008,4006,3,"Tewi Inaba","Can grant good luck and fortune to Humans","At least 1600 years old","Leader of rabbits in Eientei","Tewi Inaba is one of the many, many youkai rabbits that lives at and guards Eientei, a mansion deep in a bamboo forest - though she's the one all the earth rabbits actually listen to. Because Tewi is known to help lost people find their way and sometimes grants good fortune, she's one of the few youkai that's not harmful to humans at all (as long as you aren't trying to invade Eientei).A very lighthearted and playful youkai that's also known for sometimes lying, she even tries to scam Aya out of pocket change during Phantasmagoria of Flower View.","168px-TH09_Tewi.png"
3009,4006,3009,"Reisen Udongein Inaba","Lunacy-inducing eyes, Telepathy with other Moon Rabbits, Manipulation of Wavelengths (Soundwaves and Lightwaves), Manipulation of Madness","Unknown, at least 38 years old in lunar terms","Kaguya's pet, Eirin's student, medicine seller.","Reisen Udongein Inaba is one of the legendary lunar rabbits; she fled from the Moon to Earth as a refugee from the \"Lunar War\" between the two worlds that began in 1969 A.D. after the Apollo 11 \"invasion\". Making her way to Gensokyo she was surprised to meet the notorious fugitives Kaguya and Eirin, and asked for asylum in Eientei. In exchange, she works for and protects Kaguya and Eirin.During Imperishable Night Reisen hid within Eientei to avoid any lunar emissaries that might arrive on Earth and force her to return to the Moon. She was tasked with sealing the doors inside Eientei to ensure that Kaguya could not be found by the emissaries either. She used her power of insanity to stop the heroines from invading Eientei, but was defeated. Reisen's power of insanity comes from her eyes; she uses them to refract and twist waves, disorienting and confusing her victims and deceiving them with frightening illusions.Perhaps ironically given her insanity-inducing powers, Reisen seems to have one of the more stable and balanced personalities in Gensokyo. In Phantasmagoria of Flower View she worries about Tewi running off and seems more level headed than most other characters. Although she doesn't know what's causing the flower incident, she's decided to investigate by going wherever the flowers are blooming.During the events in Scarlet Weather Rhapsody she appears in the Scarlet Devil Mansion to ask questions but is beaten by the furious Mistress. Later she inquires into the fate of the Hakurei Shrine and asks if the earthquakes are still going on. Failing to find clues, she later goes to Hakugyokurou to check its condition and to ask Yuyuko about the Shrine's destruction. She tells her about the \"completion ceremony\" of the new shrine, but when she goes there, the shrine is destroyed. She also meets Yukari, who forbids her to investigate the shrine. Some time after the battle with Yukari, Tenshi suddenly appears and tells Reisen that earthquakes are just \"fine\".Also, in Silent Sinner in Blue, her previous owners, the Watatsuki sisters, named another Moon rabbit Reisen after her.","ReisenSWR.png"
3010,4006,3010,"Eirin Yagokoro","Can create all types of medicine, genius-level intelligence.","At least 1500, but is of an incredible age ","Pharmacist","Eirin Yagokoro is a genius of medicine from the Moon, able to create even the Hourai Elixir. She is living in exile in Gensokyo after choosing to stay with and devote herself to Kaguya Houraisan on Earth rather than take her back to the Moon. She was a very well-known figure on the Moon, having not only been instrumental in the founding of Lunar society with Lord Tsukuyomi, but also being its leading medical mind and the person in charge of the Moon's emissaries to the Earth.It seems that now Eirin has begun using her knowledge of medicine to act as Gensokyo's premier pharmacist, selling medicines at Eientei ranging from sleep aids to various cures. She is generally a fairly pleasant person and is devoted to serving her best friend, Kaguya, but she does not suffer fools gladly, and because of her incredibly high intelligence, she can come across as conceited, impatient and condescending at times to those not sharp enough to follow her explanations immediately.","265px-Eirin.png"
3011,4006,3010,"Kaguya Houraisan","Manipulation of eternity and the moment","Currently ageless, but has existed for over 1400 years.","Unknown, currently in hiding. Formerly a moon princess.","Kaguya Houraisan was once a princess of the Lunarians, a race of people living on the Moon. She was exiled to Earth over a thousand years ago for the crime of using the forbidden Hourai Elixir to make herself immortal. Arriving on Earth one day, she was found by a bamboo cutter and dwelt among the humans she had once despised. Though the other Lunarians looked upon humans with contempt, Kaguya came to love her new home. Tales of her unearthly beauty led men from all across the land to seek her hand in marriage, Fujiwara no Mokou's father being one of them, but none could successfully complete her trial of the Five Impossible Requests.The first was to bring her the stone begging bowl of the Buddha from India. The second was to retrieve a jewelled branch from the island of Mount Hourai. The third was to seek the legendary robe of the fire-rat of China. The fourth was to retrieve a colored jewel from a dragon's neck. The final task was to find the legendary Cowry treasure of the swallows. These potent treasures were eventually revealed to already be in Kaguya's possession in the final stage of Imperishable Night.After years of exile, powerful emissaries arrived from the Moon; Kaguya had been forgiven of her crime and it had been decided that she should return. Kaguya, however, had grown to love life on Earth and had no desire to return to the lunar capital permanently. Enlisting the help of her friend Eirin, Kaguya escaped from the emissaries and fled to Gensokyo. Taking refuge in an ancient manor called Eientei hidden deep within a secluded bamboo forest, the two Lunarians began a new exile. After several centuries of isolation, she was eventually reunited with Mokou, who had also used the Hourai Elixir to become immortal, and the two continued their feud, murdering each other on a nearly daily basis.She now spends her days living in Eientei in a carefree manner, sometimes holding exhibitions of Lunarian treasures there for the rest of Gensokyo to admire. Her long isolation has made her lonely, and she enjoys telling stories to any guests she might receive.","Kaguya003.png"
3012,4007,1,"Fujiwara no Mokou","Eternal Youth and Immortality, Resistance, Manipulation of Fire","Currently ageless, but has existed for over 1400 years","Rescues lost people, Bamboo forest guide, Claims to run a yakitori stand","Formerly an ordinary human, Fujiwara no Mokou became an immortal being after drinking the Hourai Elixir roughly 1300 years ago. Now she is unable to die, though she can still feel the pain of injuries. Due to her longevity, Mokou has garnered much experience and is able to withstand great amounts of pain.Mokou has a long running history of hatred for Kaguya ever since the moon princess humiliated Mokou's father by turning down his marriage proposal after she caused him to fail her trial of the Impossible Requests. Even though it has been over a thousand years since that happened, she continues to detest Kaguya, knowing full well that she can never get her revenge--nor can Kaguya ever put a permanent end to her. When not fighting with Kaguya though, she aids the nearby villagers by exterminating youkai and will even guide them safely to Eientei for medical treatment. She is a loner by nature and chooses not to socialize with humans or youkai and has a dubious personality that can easily switch from friendly to threatening and back again, but her actions seem to indicate she may be a good person.","235px-Mokou.png"
4007,5005,4008,"Aya Shameimaru","Able to see/hear things from great distance, Manipulation of Wind","Over 1000 years, around the same age as Yukari","Newspaper writer, reporter, photographer","Aya Shameimaru is Gensokyo's resident reporter, known for writing &quot;slightly\" exaggerated news articles about anything that happens in Gensokyo. She's very strong and is probably stronger than she shows since she sometimes \"accidentally wins\" battles while only meaning to cover a news story.\r\n\r\nDuring the events of Phantasmagoria of Flower View she sets out to cover what promises to be an interesting news story, apparently having had completely forgotten that the exact same event had occurred 60 years ago. Even though she was alive and around during the previous flower incident, perhaps her memory is clouded by the thousands of facts and rumors she hears every day.\r\n\r\nWhen Aya was sent by the other tengu to see who the intruder on Youkai Mountain was during Mountain of Faith she was surprised to see it was the heroine. Although Aya doesn't want to fight the heroine, she prioritizes her bosses' orders. She decides to \"Go easy\" on the Heroine and leads her to the new shrine, believing that the heroine could get rid of a large nuisance to the tengu.\r\n\r\nDuring the events of Scarlet Weather Rhapsody she goes around doing her job, and after an encounter with Reimu and Marisa, she decides to infiltrate the Scarlet Devil Mansion to report on the Scarlet Devil and write an article about her. Remilia mentions something about the weather incident, and Aya goes back to the Youkai Mountain. There she meets an infuriated Reimu complaining about an earthquake destroying her shrine. In spite of the situation, Aya defeats her as an intruder.","Th125Aya.png"
4008,5006,3,"Medicine Melancholy","Manipulation of Poison","Unknown, but young for a youkai","Unknown","Medicine Melancholy is a doll youkai that lives on Nameless Hill surrounded by poisonous suzuran (lily of the valley) flowers. In Medicine's first appearance, Phantasmagoria of Flower View, she attacks the player with suzuran's poison for no apparent reason other than because they happened to be in her field. Because some of her attacks create clouds of poison in the player's side of the field which slow the player's movements and make dodging difficult she can be a very troublesome opponent to those that don't take care while near poison. Though supposedly not especially powerful or experienced among youkai, the fact that the right poison can affect even very strong people (or large numbers of people at once) makes her somewhat best avoided.","205px-MedicinePOFW.png"
